campaignid,sample,latitude_dd,longitude_dd,marine.park,method,url,funding
2021-05_Abrolhos_stereo-BOSS,npz6.34,-28.0563,113.549,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.34.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.19,-28.0463,113.5314,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.19.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.36,-28.0765,113.4739,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.36.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.5,-28.0839,113.4763,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.5.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.37,-28.0964,113.4639,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.37.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.14,-28.0912,113.4589,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.14.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.33,-28.0887,113.4437,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.33.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.29,-28.0837,113.4589,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.29.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.11,-28.0761,113.4539,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.11.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.13,-28.0537,113.4489,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.13.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.26,-28.0487,113.4414,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.26.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.20,-28.0462,113.4413,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.20.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.6,-28.0362,113.4213,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.6.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.17,-28.0587,113.3939,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.17.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.21,-28.0737,113.4014,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.21.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.31,-28.0711,113.3938,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.31.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.7,-28.0687,113.3812,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.7.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.15,-28.0712,113.3788,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.15.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.25,-28.0362,113.3815,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.25.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.1,-28.0459,113.3761,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.1.mp4,Parks Australia
2021-05_Abrolhos_stereo-BOSS,npz6.9,-28.0486,113.3687,Abrolhos,stereo-BOSS,https://object-store.rc.nectar.org.au/v1/AUTH_00a0b722182f427090a2d462ace79a0a/FishNClips/videos/2021-05_Abrolhos_stereo-BOSS/npz6.9.mp4,Parks Australia
