Image_Name,Time on GPS,Transect,x,y
output_0045.jpeg,10:47:01 AM,CH01,114.982225,-29.513656
output_0046.jpeg,10:47:06 AM,CH01,114.982177,-29.513639
output_0047.jpeg,10:47:11 AM,CH01,114.982115,-29.513636
output_0048.jpeg,10:47:16 AM,CH01,114.982065,-29.513637
output_0049.jpeg,10:47:21 AM,CH01,114.982022,-29.513642
output_0050.jpeg,10:47:26 AM,CH01,114.981985,-29.513646
output_0051.jpeg,10:47:31 AM,CH01,114.981937,-29.513656
output_0052.jpeg,10:47:36 AM,CH01,114.981887,-29.513661
output_0053.jpeg,10:47:41 AM,CH01,114.981838,-29.513652
output_0054.jpeg,10:47:46 AM,CH01,114.981783,-29.513631
output_0055.jpeg,10:47:51 AM,CH01,114.98173,-29.513597
output_0056.jpeg,10:47:56 AM,CH01,114.981688,-29.513557
output_0057.jpeg,10:48:01 AM,CH01,114.981647,-29.513516
output_0058.jpeg,10:48:06 AM,CH01,114.981602,-29.513481
output_0059.jpeg,10:48:11 AM,CH01,114.981557,-29.513442
output_0060.jpeg,10:48:16 AM,CH01,114.981512,-29.513411
output_0061.jpeg,10:48:21 AM,CH01,114.98147,-29.513379
output_0062.jpeg,10:48:26 AM,CH01,114.98142,-29.513351
output_0063.jpeg,10:48:31 AM,CH01,114.981375,-29.513316
output_0064.jpeg,10:48:36 AM,CH01,114.981328,-29.513279
output_0065.jpeg,10:48:41 AM,CH01,114.981278,-29.513241
output_0066.jpeg,10:48:46 AM,CH01,114.981237,-29.513211
output_0067.jpeg,10:48:51 AM,CH01,114.981183,-29.513179
output_0068.jpeg,10:48:56 AM,CH01,114.981138,-29.513139
output_0069.jpeg,10:49:01 AM,CH01,114.981098,-29.513096
output_0070.jpeg,10:49:06 AM,CH01,114.98106,-29.513061
output_0071.jpeg,10:49:11 AM,CH01,114.981032,-29.513024
output_0072.jpeg,10:49:16 AM,CH01,114.980977,-29.512987
output_0073.jpeg,10:49:21 AM,CH01,114.980933,-29.512949
output_0074.jpeg,10:49:26 AM,CH01,114.980895,-29.512914
output_0075.jpeg,10:49:31 AM,CH01,114.98085,-29.512876
output_0076.jpeg,10:49:36 AM,CH01,114.980822,-29.512844
output_0077.jpeg,10:49:41 AM,CH01,114.98079,-29.512814
output_0078.jpeg,10:49:46 AM,CH01,114.98076,-29.512781
output_0079.jpeg,10:49:51 AM,CH01,114.980735,-29.512732
output_0080.jpeg,10:49:56 AM,CH01,114.980703,-29.512692
output_0081.jpeg,10:50:01 AM,CH01,114.980675,-29.512661
output_0082.jpeg,10:50:06 AM,CH01,114.980645,-29.512629
output_0083.jpeg,10:50:11 AM,CH01,114.98061,-29.512604
output_0084.jpeg,10:50:16 AM,CH01,114.980577,-29.512567
output_0085.jpeg,10:50:21 AM,CH01,114.980532,-29.512536
output_0086.jpeg,10:50:26 AM,CH01,114.980497,-29.512499
output_0087.jpeg,10:50:31 AM,CH01,114.980442,-29.512464
output_0088.jpeg,10:50:36 AM,CH01,114.980398,-29.512427
output_0089.jpeg,10:50:41 AM,CH01,114.980353,-29.512397
output_0090.jpeg,10:50:46 AM,CH01,114.980318,-29.512372
output_0091.jpeg,10:50:51 AM,CH01,114.980277,-29.512349
output_0092.jpeg,10:50:56 AM,CH01,114.980242,-29.512322
output_0093.jpeg,10:51:01 AM,CH01,114.9802,-29.512292
output_0094.jpeg,10:51:06 AM,CH01,114.98017,-29.512259
output_0095.jpeg,10:51:11 AM,CH01,114.980117,-29.512224
output_0096.jpeg,10:51:16 AM,CH01,114.98009,-29.512192
output_0097.jpeg,10:51:21 AM,CH01,114.980052,-29.512164
output_0098.jpeg,10:51:26 AM,CH01,114.98001,-29.512137
output_0099.jpeg,10:51:31 AM,CH01,114.979967,-29.512101
output_0100.jpeg,10:51:36 AM,CH01,114.979915,-29.512074
output_0101.jpeg,10:51:41 AM,CH01,114.979877,-29.512041
output_0102.jpeg,10:51:46 AM,CH01,114.979825,-29.512016
output_0103.jpeg,10:51:51 AM,CH01,114.979793,-29.511992
output_0104.jpeg,10:51:56 AM,CH01,114.97975,-29.511966
output_0105.jpeg,10:52:01 AM,CH01,114.979713,-29.511942
output_0106.jpeg,10:52:06 AM,CH01,114.979677,-29.511912
output_0107.jpeg,10:52:11 AM,CH01,114.979637,-29.511886
output_0108.jpeg,10:52:16 AM,CH01,114.979615,-29.511867
output_0109.jpeg,10:52:21 AM,CH01,114.979585,-29.511846
output_0110.jpeg,10:52:26 AM,CH01,114.97956,-29.511816
output_0111.jpeg,10:52:31 AM,CH01,114.979535,-29.511787
output_0112.jpeg,10:52:36 AM,CH01,114.979502,-29.511754
output_0113.jpeg,10:52:41 AM,CH01,114.97947,-29.511726
output_0114.jpeg,10:52:46 AM,CH01,114.979445,-29.511699
output_0115.jpeg,10:52:51 AM,CH01,114.979418,-29.511681
output_0116.jpeg,10:52:56 AM,CH01,114.979392,-29.511661
output_0117.jpeg,10:53:01 AM,CH01,114.97936,-29.511639
output_0118.jpeg,10:53:06 AM,CH01,114.979312,-29.511622
output_0119.jpeg,10:53:11 AM,CH01,114.979273,-29.511597
output_0120.jpeg,10:53:16 AM,CH01,114.979207,-29.511567
output_0121.jpeg,10:53:21 AM,CH01,114.97916,-29.511544
output_0122.jpeg,10:53:26 AM,CH01,114.979115,-29.511509
output_0123.jpeg,10:53:31 AM,CH01,114.979078,-29.511477
output_0124.jpeg,10:53:36 AM,CH01,114.979045,-29.511442
output_0125.jpeg,10:53:41 AM,CH01,114.979003,-29.511411
output_0126.jpeg,10:53:46 AM,CH01,114.978965,-29.511376
output_0127.jpeg,10:53:51 AM,CH01,114.978923,-29.511339
output_0128.jpeg,10:53:56 AM,CH01,114.978883,-29.511314
output_0129.jpeg,10:54:01 AM,CH01,114.978843,-29.511282
output_0130.jpeg,10:54:06 AM,CH01,114.97881,-29.511249
output_0131.jpeg,10:54:11 AM,CH01,114.978778,-29.511224
output_0132.jpeg,10:54:16 AM,CH01,114.978743,-29.511192
output_0133.jpeg,10:54:21 AM,CH01,114.978695,-29.511156
output_0134.jpeg,10:54:26 AM,CH01,114.978653,-29.511107
output_0135.jpeg,10:54:31 AM,CH01,114.978607,-29.511064
output_0136.jpeg,10:54:36 AM,CH01,114.978572,-29.511021
output_0137.jpeg,10:54:41 AM,CH01,114.978532,-29.510982
output_0138.jpeg,10:54:46 AM,CH01,114.978497,-29.510947
output_0139.jpeg,10:54:51 AM,CH01,114.978458,-29.510902
output_0140.jpeg,10:54:56 AM,CH01,114.978428,-29.510864
