"sample","latitude","longitude","Macroalgae","Unconsolidated","Seagrasses","Sponges","Consolidated","Other","Macrophytes","Stony.corals","method","marine.park","Urchin.density"
"output_0045.jpeg",-29.513656,114.982225,0,0,0,0,0,100,0,0,"Towed","Dongara",0
"output_0046.jpeg",-29.513639,114.982177,0,0,0,0,0,100,0,0,"Towed","Dongara",0
"output_0047.jpeg",-29.513636,114.982115,44,0,0,0,24,0,44,0,"Towed","Dongara",0
"output_0048.jpeg",-29.513637,114.982065,52,0,8,0,12,0,60,0,"Towed","Dongara",0
"output_0049.jpeg",-29.513642,114.982022,48,0,16,0,4,0,64,0,"Towed","Dongara",0.991099357
"output_0050.jpeg",-29.513646,114.981985,36,0,4,0,24,0,40,0,"Towed","Dongara",0
"output_0051.jpeg",-29.513656,114.981937,36,0,0,0,40,0,36,0,"Towed","Dongara",1.038129177
"output_0052.jpeg",-29.513661,114.981887,20,0,0,0,56,0,20,0,"Towed","Dongara",0
"output_0053.jpeg",-29.513652,114.981838,8.34,0,0,0,79.17,0,8.34,0,"Towed","Dongara",0
"output_0054.jpeg",-29.513631,114.981783,32,0,0,0,24,0,32,0,"Towed","Dongara",0.553922432
"output_0055.jpeg",-29.513597,114.98173,28,0,0,0,24,8,28,0,"Towed","Dongara",0.712185984
"output_0056.jpeg",-29.513557,114.981688,20,4,0,0,40,12,20,0,"Towed","Dongara",0
"output_0057.jpeg",-29.513516,114.981647,12,0,0,0,72,0,12,0,"Towed","Dongara",0
"output_0058.jpeg",-29.513481,114.981602,44,0,0,0,12,0,44,0,"Towed","Dongara",0
"output_0059.jpeg",-29.513442,114.981557,24,0,0,0,36,0,24,0,"Towed","Dongara",1.058497018
"output_0060.jpeg",-29.513411,114.981512,33.33,4.17,0,0,33.33,0,33.33,0,"Towed","Dongara",0.569202334
"output_0061.jpeg",-29.513379,114.98147,28,0,0,0,24,0,28,0,"Towed","Dongara",0.539677131
"output_0062.jpeg",-29.513351,114.98142,16.67,0,0,0,29.17,0,16.67,0,"Towed","Dongara",0
"output_0063.jpeg",-29.513316,114.981375,20,0,0,0,68,0,20,0,"Towed","Dongara",1.626039946
"output_0064.jpeg",-29.513279,114.981328,16,8,0,0,28,0,16,0,"Towed","Dongara",0.457394733
"output_0065.jpeg",-29.513241,114.981278,8,0,0,0,52,0,8,0,"Towed","Dongara",0.833678578
"output_0066.jpeg",-29.513211,114.981237,16,0,0,4,52,0,16,0,"Towed","Dongara",1.41281864
"output_0067.jpeg",-29.513179,114.981183,16.67,0,0,0,54.17,12.5,16.67,0,"Towed","Dongara",2.428647311
"output_0068.jpeg",-29.513139,114.981138,8,0,0,0,36,24,8,0,"Towed","Dongara",2.934963568
"output_0069.jpeg",-29.513096,114.981098,24,0,0,0,16,24,24,0,"Towed","Dongara",2.55646035
"output_0070.jpeg",-29.513061,114.98106,28,0,0,0,24,12,28,0,"Towed","Dongara",1.278035353
"output_0071.jpeg",-29.513024,114.981032,12,0,0,0,28,20,12,0,"Towed","Dongara",2.346992941
"output_0072.jpeg",-29.512987,114.980977,20,0,0,8,28,16,20,0,"Towed","Dongara",1.803856691
"output_0073.jpeg",-29.512949,114.980933,8,0,0,0,28,32,8,0,"Towed","Dongara",5.714206374
"output_0074.jpeg",-29.512914,114.980895,9.09,0,0,0,18.18,9.1,9.09,0,"Towed","Dongara",3.947197527
"output_0075.jpeg",-29.512876,114.98085,4.35,0,0,0,0,0,4.35,0,"Towed","Dongara",1.372310417
"output_0076.jpeg",-29.512844,114.980822,0,0,0,0,26.09,0,0,0,"Towed","Dongara",2.616152052
"output_0077.jpeg",-29.512814,114.98079,0,0,0,0,58.33,0,0,0,"Towed","Dongara",4.728350663
"output_0078.jpeg",-29.512781,114.98076,0,0,0,0,44,0,0,0,"Towed","Dongara",6.692371943
"output_0079.jpeg",-29.512732,114.980735,0,0,0,0,41.67,0,0,0,"Towed","Dongara",3.839335972
"output_0080.jpeg",-29.512692,114.980703,0,0,0,0,20,0,0,0,"Towed","Dongara",2.142315313
"output_0081.jpeg",-29.512661,114.980675,0,0,0,0,44,0,0,0,"Towed","Dongara",1.351048634
"output_0082.jpeg",-29.512629,114.980645,0,4,0,0,56,0,0,0,"Towed","Dongara",1.552402401
"output_0083.jpeg",-29.512604,114.98061,0,0,0,0,40,0,0,0,"Towed","Dongara",1.753669447
"output_0084.jpeg",-29.512567,114.980577,0,0,0,0,76,4,0,0,"Towed","Dongara",1.991822088
"output_0085.jpeg",-29.512536,114.980532,0,0,0,0,72,0,0,0,"Towed","Dongara",2.033726737
"output_0086.jpeg",-29.512499,114.980497,0,0,0,0,36,0,0,0,"Towed","Dongara",1.891215294
"output_0087.jpeg",-29.512464,114.980442,0,0,0,0,76,12,0,0,"Towed","Dongara",3.408742098
"output_0088.jpeg",-29.512427,114.980398,4,0,0,0,44,0,4,0,"Towed","Dongara",2.194932821
"output_0089.jpeg",-29.512397,114.980353,4,0,0,0,44,0,4,0,"Towed","Dongara",4.848822221
"output_0090.jpeg",-29.512372,114.980318,0,0,0,0,72,0,0,0,"Towed","Dongara",2.73287506
