Sample,fishnclips,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
1,Yes,-33.36345,115.21415,20141210,13:20:00,Geographe.Bay,Fished,NA,40,Lizzy,Yes,Yes,NA
2,Yes,-33.4405333,115.10095,20141210,6:29:00,Geographe.Bay,Fished,NA,40.5,Lizzy,Yes,Yes,NA
3,Yes,-33.4920833,115.3549,20141213,8:41:00,Geographe.Bay,Fished,NA,24.8,Lizzy,Yes,Yes,NA
4,Yes,-33.3921,115.2280833,20141210,14:13:00,Geographe.Bay,Fished,NA,38.4,Lizzy,Yes,Yes,NA
5,Yes,-33.3627833,115.45495,20141211,9:43:00,Geographe.Bay,Fished,NA,25.7,Lizzy,Yes,Yes,NA
6,Yes,-33.4070833,115.1204167,20141210,7:55:00,Geographe.Bay,Fished,NA,41.8,Lizzy,Yes,Yes,NA
7,Yes,-33.4204833,115.4457,20141213,11:04:00,Geographe.Bay,Fished,NA,23.2,Lizzy,Yes,Yes,NA
9,Yes,-33.3643333,115.1361167,20141210,10:04:00,Geographe.Bay,Fished,NA,41.8,Lauren,Yes,Yes,NA
10,Yes,-33.5281667,115.3313333,20141212,10:48:00,Geographe.Bay,Fished,NA,22.7,Lauren,Yes,Yes,NA
11,Yes,-33.5712167,115.2958167,20141212,8:59:00,Geographe.Bay,Fished,NA,21.7,Lauren,Yes,Yes,NA
12,Yes,-33.40395,115.2615667,20141210,14:00:00,Geographe.Bay,Fished,NA,38.7,Lauren,Yes,Yes,NA
13,Yes,-33.4501833,115.0925167,20141209,13:41:00,Geographe.Bay,Fished,NA,42.4,Lauren,Yes,Yes,NA
14,Yes,-33.5296667,115.4130333,20141213,5:56:00,Geographe.Bay,Fished,NA,13.2,Lizzy,Yes,Yes,NA
15,Yes,-33.5782333,115.2147833,20141212,6:27:00,Geographe.Bay,Fished,NA,26.2,laura,Yes,Yes,NA
16,Yes,-33.3889,115.4986167,20141211,12:21:00,Geographe.Bay,Fished,NA,20,Lauren,Yes,Yes,NA
17,Yes,-33.3635833,115.23265,20141210,13:27:00,Geographe.Bay,Fished,NA,38.8,Laura,Yes,Yes,NA
18,Yes,-33.3926,115.0981333,20141210,7:44:00,Geographe.Bay,Fished,NA,42.4,Lizzy,Yes,Yes,NA
19,Yes,-33.4605,115.3618,20141213,10:33:00,Geographe.Bay,Fished,NA,26,Lauren,Yes,Yes,NA
20,Yes,-33.4338667,115.2221167,20141210,11:09:00,Geographe.Bay,Fished,NA,36,Laura,Yes,Yes,NA
21,Yes,-33.3857167,115.39765,20141214,6:54:00,Geographe.Bay,Fished,NA,15.7,Lauren,Yes,Yes,NA
22,Yes,-33.57455,115.1806667,20141209,7:10:00,Geographe.Bay,Fished,NA,22.6,Lizzy,Yes,Yes,NA
23,Yes,-33.5041833,115.4289333,20141216,11:29:00,Geographe.Bay,Fished,NA,13.6,Lauren,Yes,Yes,NA
24,Yes,-33.47115,115.2861667,20141209,6:05:00,Geographe.Bay,Fished,NA,29.2,Lizzy,Yes,Yes,NA
25,Yes,-33.3833333,115.0827833,20141210,7:10:00,Geographe.Bay,Fished,NA,42.5,Lauren,Yes,Yes,NA
26,Yes,-33.5500333,115.3236167,20141212,11:02:00,Geographe.Bay,Fished,NA,20.5,Laura,Yes,Yes,NA
27,Yes,-33.5463667,115.1883833,20141209,7:00:00,Geographe.Bay,Fished,NA,28.2,Lauren,Yes,Yes,NA
28,Yes,-33.42715,115.2872833,20141211,7:07:00,Geographe.Bay,Fished,NA,34,Lizzy,Yes,Yes,NA
29,Yes,-33.4869667,115.1764,20141209,10:30:00,Geographe.Bay,Fished,NA,34.3,Lauren,Yes,Yes,NA
30,Yes,-33.42405,115.33405,20141211,6:37:00,Geographe.Bay,Fished,NA,31.8,Lizzy,Yes,Yes,NA
31,Yes,-33.5986333,115.2369167,20141212,5:55:00,Geographe.Bay,Fished,NA,26.3,laura,Yes,Yes,NA
32,Yes,-33.4807833,115.46205,20141213,7:53:00,Geographe.Bay,Fished,NA,14.1,Laura,Yes,Yes,NA
33,Yes,-33.3527667,115.3204833,20141211,8:54:00,Geographe.Bay,Fished,NA,34.1,Lauren,Yes,Yes,NA
34,Yes,-33.3845167,115.0739,20141210,7:05:00,Geographe.Bay,Fished,NA,43,Lizzy,Yes,Yes,NA
35,Yes,-33.4055,115.4157167,20141213,11:14:00,Geographe.Bay,Fished,NA,27.9,Lizzy,Yes,Yes,NA
36,Yes,-33.4269,115.20765,20141210,11:17:00,Geographe.Bay,Fished,NA,38.2,Laura,Yes,Yes,NA
37,Yes,-33.3585,115.3721,20141211,9:11:00,Geographe.Bay,Fished,NA,30.3,Lizzy,Yes,Yes,NA
38,Yes,-33.5036833,115.1274333,20141209,12:45:00,Geographe.Bay,Fished,NA,34.5,Lizzy,Yes,Yes,NA
39,Yes,-33.465,115.43285,20141211,13:20:00,Geographe.Bay,Fished,NA,19.8,Lizzy,Yes,Yes,NA
40,Yes,-33.4719667,115.2287167,20141209,9:57:00,Geographe.Bay,Fished,NA,33.7,Lauren,Yes,Yes,NA
41,Yes,-33.36785,115.0985833,20141210,7:35:00,Geographe.Bay,Fished,NA,42.5,Laura,Yes,Yes,NA
42,Yes,-33.5425167,115.3862333,20141212,13:13:00,Geographe.Bay,Fished,NA,13,laura,Yes,Yes,NA
44,Yes,-33.3984333,115.30965,20141211,6:54:00,Geographe.Bay,Fished,NA,34.4,Lauren,Yes,Yes,NA
45,Yes,-33.4445667,115.13165,20141209,13:28:00,Geographe.Bay,Fished,NA,41.1,Lauren,Yes,Yes,NA
46,Yes,-33.4028,115.3493,20141214,6:35:00,Geographe.Bay,Fished,NA,18,Lauren,Yes,Yes,NA
47,Yes,-33.5485,115.2877667,20141212,10:29:00,Geographe.Bay,Fished,NA,24.3,Lauren,Yes,Yes,NA
48,Yes,-33.40275,115.5133833,20141211,12:31:00,Geographe.Bay,Fished,NA,17.2,Lizzy,Yes,Yes,NA
49,Yes,-33.3809167,115.2720667,20141210,13:51:00,Geographe.Bay,Fished,NA,37.7,Laura,Yes,Yes,NA
50,Yes,-33.4108,115.1742333,20141210,10:29:00,Geographe.Bay,Fished,NA,40.5,Lizzy,Yes,Yes,NA
51,Yes,-33.4315667,115.41365,20141213,10:52:00,Geographe.Bay,Fished,NA,25.4,Damon,Yes,Yes,NA
52,Yes,-33.49265,115.2982,20141209,6:14:00,Geographe.Bay,Fished,NA,29.7,Lizzy,Yes,Yes,NA
53,Yes,-33.3582167,115.3565167,20141211,9:04:00,Geographe.Bay,Fished,NA,31.4,Lizzy,Yes,Yes,NA
