EMOB,sample,latitude_dd,longitude_dd,date_time,date,time,site,location,status,depth_m,observer_count,Check MaxN,Check Length,successful_count,successful_length,Habitat.Length.analyst,Length.Habitat.Date,comment,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes
20220519-1-SQUID,122,-22.75,113.5452,2022-05-19T13:35:27+0800,2022-05-19,13:35:27,,Pt Cloates,No-take,83,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,Red lights all checked (cameras on). White lights synced before drop. eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220816,Molly,Molly,20230505,lots of fish close to cam after period
20220519-1-SQUID,150,-22.7488,113.5427,2022-05-19T13:51:10+0800,2022-05-19,13:51:10,,Pt Cloates,No-take,85.8,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220816,Molly,Molly,20230505,Turtle!!!!
20220519-1-SQUID,B59,-22.7439,113.5456,2022-05-19T14:05:46+0800,2022-05-19,14:05:46,,Pt Cloates,No-take,84,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220816,Molly,Molly,20230505,
20220519-1-SQUID,147,-22.7423,113.5417,2022-05-19T14:19:51+0800,2022-05-19,14:19:51,,Pt Cloates,No-take,88.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220818,Molly,Molly,20230505,
20220519-1-SQUID,118,-22.7388,113.5435,2022-05-19T14:32:04+0800,2022-05-19,14:32:04,,Pt Cloates,No-take,88.2,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220818,Molly,Molly,20230505,
20220519-1-SQUID,136,-22.7379,113.5426,2022-05-19T14:44:38+0800,2022-05-19,14:44:38,,Pt Cloates,No-take,89.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,Mahi mahi?,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220818,Molly,Molly,20230505,Questionable Decapterus ID
20220519-1-SQUID,B62,-22.7377,113.5417,2022-05-19T14:55:57+0800,2022-05-19,14:55:57,,Pt Cloates,No-take,89.3,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220818,Molly,Molly,20230505,some miniatus way out the back - they come in after period ends
20220519-1-SQUID,B64,-22.7345,113.5505,2022-05-19T15:09:26+0800,2022-05-19,15:09:26,,Pt Cloates,No-take,80.1,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,Red lights checked after drop.,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220818,Molly,Molly,20230505,
20220519-1-SQUID,112,-22.7339,113.5532,2022-05-19T15:20:29+0800,2022-05-19,15:20:29,,Pt Cloates,No-take,76.9,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230505,"1 unknown wrasse, probably caudimacula"
20220519-1-SQUID,141,-22.7323,113.544,2022-05-19T15:33:37+0800,2022-05-19,15:33:37,,Pt Cloates,No-take,88.4,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230505,some floaters out the back
20220519-1-SQUID,B49,-22.7309,113.5442,2022-05-19T15:46:25+0800,2022-05-19,15:46:25,,Pt Cloates,No-take,88.3,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230505,rubrio after period. hydrocoral?
20220519-1-SQUID,146,-22.7285,113.5486,2022-05-19T16:03:36+0800,2022-05-19,16:03:36,,Pt Cloates,No-take,82.4,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230505,no fish
20220519-1-SQUID,119,-22.727,113.5473,2022-05-19T16:13:53+0800,2022-05-19,16:13:53,,Pt Cloates,No-take,86.6,Claude Spencer,Hannah Williams,Hannah Williams,Yes,Yes,Katharina Paetz,2023-02-21,eDNA. Camera #16 off at end of day. Lights synced.,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230505,no fish
,B54,-22.7657,113.5389,2022-05-21T08:24:48+0800,2022-05-21,08:24:48,,Pt Cloates,No-take,81.2,N/A,N/A,N/A,No,No,N/A,N/A,LOST BOSS. eDNA. Retrieved BOSS (1.45 hrs later),RAW1,CON1,N/A,N/A,,,N/A,N/A,,,,
20220521-2-SQUID,B54.2,-22.7654,113.5391,2022-05-21T11:38:15+0800,2022-05-21,11:38:15,,Pt Cloates,No-take,84,Claude Spencer,Yes,Yes,Yes,Yes,Katharina Paetz,2023-02-21,White falshy lights synced prior to drop. Red camera lights checked. GTG.,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230508,"fulvos maybe too far away - coros almost definitely are. spango as unknown?, red length outside of period"
20220521-2-SQUID,B52,-22.7635,113.5348,2022-05-21T11:55:53+0800,2022-05-21,11:55:53,,Pt Cloates,No-take,91,Claude Spencer,Yes,Yes,Yes,Yes,Katharina Paetz,2023-02-21,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230508,sailfish on the drop down
20220521-2-SQUID,132,-22.7618,113.5447,2022-05-21T12:12:20+0800,2022-05-21,12:12:20,,Pt Cloates,No-take,78.1,Claude Spencer,Yes,Yes,Yes,Yes,Katharina Paetz,2023-02-21,eDNA,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Claude,20220822,Molly,Molly,20230508,tips over at 1:15. red after period
