period,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,FishNClips.saved,Panoramic.habitat.image.saved,successful_habitat_panoramic,Successful.Habitat.Relief,observer_habitat_panoramic,Raw.hdd.number,Con.hdd.number,Maxn.complete.date,Maxn.checker,Length.complete.date,comment
53,-34.1339783331902,114.909506666311,2023-03-13 08:41:32,,South-west Corner,No-take,44.4,Yes,Yes,Henry Evans,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/04/2023,Levi Peters,17/08/2023,
35,-34.1331033334868,114.91726166675,2023-03-13 08:54:08,,South-west Corner,No-take,40.8,Yes,Yes,Henry Evans,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/04/2023,Levi Peters,17/08/2023,
55,-34.1301699999178,114.929228333059,2023-03-13 09:06:16,,South-west Corner,No-take,40.4,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,03/08/2023,Brooke Gibbons,18/08/2023,
82,-34.1295066668898,114.924483332914,2023-03-13 09:15:08,,South-west Corner,No-take,38.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,03/08/2023,Brooke Gibbons,18/08/2023,Check shark. All cams good before drop
12,-34.1280649997558,114.923691666518,2023-03-13 09:22:11,,South-west Corner,No-take,36.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,03/08/2023,Brooke Gibbons,18/08/2023,
67,-34.1270266664607,114.921168333021,2023-03-13 09:29:01,,South-west Corner,No-take,39.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/08/2023,Levi Peters,21/08/2023,
79,-34.1248350000141,114.911396666871,2023-03-13 09:38:51,,South-west Corner,No-take,40.2,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/08/2023,Levi Peters,21/08/2023, 
62,-34.1239033333219,114.907970000101,2023-03-13 09:46:16,,South-west Corner,No-take,42.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/08/2023,Levi Peters,21/08/2023,2 mins 58. west cam is basically just looking at algae
01,-34.1222166668438,114.907269999594,2023-03-13 09:54:05,,South-west Corner,No-take,41.2,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/08/2023,Levi Peters,21/08/2023,Cams  good before
54,-34.116568333673,114.911979999579,2023-03-13 10:03:45,,South-west Corner,No-take,43.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/08/2023,Levi Peters,21/08/2023,south cam basically just looking at algae
