System.number,opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hdd.number,FishNClips.saved,Forwards.habitat.image.saved,Backwards.habitat.image.saved,successful_habitat_forward,successful_habitat_backward,successful_relief_forward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,Maxn.complete.date,Maxn.checker,Length.complete.date,Length.new.measurement.rules.complete.date,Labridaesp1.complete.date,comment
1,35,-34.131550000139,114.923644999938,2023-03-15T07:36:19+08:00,,,No-take,39.6,Yes,Yes,Hannah Williams,Gidget Mirrabelle,27,28,19,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,,Gidget Neunuebel,31/07/2023,01/08/2023,,
2,5,-34.1295266667475,114.92923666673,2023-03-15T07:49:41+08:00,,,No-take,42.7,Yes,Yes,Hannah Williams,Gidget Mirrabelle,30,30,20,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,,Gidget Neunuebel,31/07/2023,,,need to check feeding. unknown leatherjacket. 
3,26,-34.1272900003087,114.928430000266,2023-03-15T07:54:35+08:00,,,No-take,36,Yes,Yes,Gidget Mirrabelle,Hannah Williams,31,32,21,struggled with shark ID,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,11/07/2023,Claude Spencer,19/07/2023,02/08/2023,,cant always see bait bag to determine feeding. definite feeding is in activity
4,23,-34.1283233333089,114.918951666396,2023-03-15T08:01:12+08:00,,,No-take,41,Yes,Yes,Gidget Mirrabelle,Hannah Williams,33,34,22,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,07/07/2023,Claude Spencer,19/07/2023,02/08/2023,,cant always see baitbag to determine feeding. maked sp that definitely fed in activity. 
5,29,-34.1229566664623,114.910516666439,2023-03-15T08:07:51+08:00,,,No-take,42.6,Yes,Yes,Levi Peters,Gidget Mirrabelle,35,36,23,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,13/07/2023,Claude Spencer,21/07/2023,02/08/2023,,
6,4,-34.1159666664967,114.911221666969,2023-03-15T08:14:46+08:00,,,No-take,45,Yes,Yes,Gidget Mirrabelle,Levi Peters,37,38,24,starts going up at 59:39 mins,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,07/07/2023,Claude Spencer,25/07/2023,,,
7,32,-34.1101966666492,114.928356666298,2023-03-15T08:23:19+08:00,,,No-take,44.4,Yes,Yes,Daniel Agnello,Levi Peters,39,40,25,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,16/06/2023,Levi Peters,28/07/2023,,,Test video
8,37,-34.1085366666613,114.923581666914,2023-03-15T08:28:43+08:00,,,No-take,46.1,Yes,Yes,Henry Evans,Joe Burgess-Adams,41,42,26,,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Hannah Williams,Hannah Williams,,Gidget Neunuebel,17/04/2023,02/08/2023,,
1,3,-34.1073416669911,114.915641666526,2023-03-15T09:54:55+08:00,,,No-take,46.7,Yes,Yes,Hannah Williams,Gidget Mirrabelle,27,28,19,Showed whiteboard 3 times,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,,Gidget Neunuebel,26/07/2023,,,
2,2,-34.1119016669298,114.900846666223,2023-03-15T10:02:10+08:00,,,No-take,44.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,30,30,20,is it 29 30? COME BACK TO UNKNOWN ON SEAGRASS,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,07/07/2023,Claude Spencer,04/08/2023,,,for left video whiteboard shows drop 4 on MAH00328 and then shows drop 2 on MAH00329. drop 2 is right.
